Ticker,Currency,datadate,Fiscal Quarter,NI
WMT,USD,20140430,2014Q1,3593
WMT,USD,20140731,2014Q2,4093
WMT,USD,20141031,2014Q3,3711
WMT,USD,20150131,2014Q4,4966
WMT,USD,20150430,2015Q1,3341
WMT,USD,20150731,2015Q2,3475
WMT,USD,20151031,2015Q3,3304
WMT,USD,20160131,2015Q4,4574
WMT,USD,20160430,2016Q1,3079
WMT,USD,20160731,2016Q2,3773
WMT,USD,20161031,2016Q3,3034
WMT,USD,20170131,2016Q4,3757
WMT,USD,20170430,2017Q1,3039
WMT,USD,20170731,2017Q2,2899
WMT,USD,20171031,2017Q3,1749
WMT,USD,20180131,2017Q4,2175
WMT,USD,20180430,2018Q1,2134
WMT,USD,20180731,2018Q2,-861
WMT,USD,20181031,2018Q3,1710
WMT,USD,20190131,2018Q4,3687
